first,second,condition,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
disinkrewionary,disinkriwionary,pprss,krew,dis_in,ion_ary,disinkrewionary,target,r,,2,e,i,disinkriwionary,1
reinclat,riinclat,ppr,clat,re_in,,reinclat,target,p,0.0,1,e,i,riinclat,1
negfulness,nepfulness,rss,neg,,ful_ness,negfulness,target,r,,2,g,p,nepfulness,1
prasationalist,prasationarist,rssss,pras,,at_ion_al_ist,prasationalist,target,s,2.0,1,l,r,prasationarist,1
sidmemoos,sidmemoos,ppr,moos,sid_me,,sidmemoos,control,p,1.0,0,m,w,sidwemoos,0
dismeerer,dismeerer,prs,meer,dis,er,dismeerer,target,s,0.0,1,r,m,dismeerem,0
bodically,todically,rsss,bod,,ic_al_ly,bodically,target,r,,0,b,t,todically,1
neilsitci,neilsutci,rss,neil,,sit_ci,neilsitci,control,s,0.0,1,i,u,neilsutci,1
reoverpras,reoverpras,ppr,pras,re_over,,reoverpras,target,p,0.0,1,e,i,rioverpras,0
teclayl,teclayl,rss,tec,,la_yl,teclayl,control,s,0.0,1,a,e,tecleyl,0
ednucezi,ednucezi,prs,nuc,ed,ezi,ednucezi,control,p,0.0,0,e,i,idnucezi,0
enkrew,erkrew,pr,krew,en,,enkrew,target,p,0.0,1,n,r,erkrew,1
recetiveness,recetiveness,prss,cet,re,ive_ness,recetiveness,target,p,0.0,0,r,l,lecetiveness,0
belsalize,belsalize,rss,bels,,al_ize,belsalize,target,r,,0,b,s,selsalize,0
